Postcode,FullAddress,pricePerWeek,Bedrooms,Bathrooms,TypeOfHouse,Website,FlatNumber
NE2 3LH,201 Osborne Road, ,5,1,House,Student Cribs,
NE2 3LH,217 Osborne Road, ,7,2,House,Student Cribs,
NE2 3LJ,27 Lyndhurst Avenue, ,4,1,House,Student Cribs,
NE2 3HX,70 Hazelwood Avenue, ,6,3,House,Student Cribs,
NE2 3HX,72 Hazelwood Avenue, ,3,1,House,Student Cribs,
NE2 3JA,22 Tavistock Road, ,5,2,House,Student Cribs,
NE2 3DU,5 Mildmay Road, ,4,1,House,Student Cribs,
NE2 3HR,27 Bayswater Road, ,3,1,House,Student Cribs,
NE2 3HA,54 Coniston Avenue, ,5,2,House,Student Cribs,
NE2 3HA,56 Coniston Avenue, ,2,1,House,Student Cribs,
NE2 3EY,5 Coniston Avenue, ,6,3,House,Student Cribs,
NE2 3DA,30 Forsyth Road, ,5,2,House,Student Cribs,
NE2 3DA,46 Forsyth Road, ,7,4,House,Student Cribs,
NE2 3DA,48 Forsyth Road, ,4,4,House,Student Cribs,
NE2 3BY,14 Fairfield Road, ,6,3,House,Student Cribs,
NE2 3BY,60 Fairfield Road, ,4,2,House,Student Cribs,
NE2 2AS,55-59 Osborne Road, ,5,2,Flat,Student Cribs,9
NE2 2AS,55-59 Osborne Road, ,6,2,Flat,Student Cribs,8
NE2 2AS,55-59 Osborne Road, ,5,5,Flat,Student Cribs,7
NE2 2AS,55-59 Osborne Road, ,5,5,Flat,Student Cribs,5
NE2 2AS,55-59 Osborne Road, ,6,2,Flat,Student Cribs,4
NE2 2AS,55-59 Osborne Road, ,3,3,Flat,Student Cribs,3
NE2 2AS,55-59 Osborne Road, ,6,1,Flat,Student Cribs,2
NE2 2AS,55-59 Osborne Road, ,5,5,Flat,Student Cribs,19
NE2 2AS,55-59 Osborne Road, ,4,4,Flat,Student Cribs,18
NE2 2AS,55-59 Osborne Road, ,5,5,Flat,Student Cribs,17
NE2 2AS,55-59 Osborne Road, ,5,5,Flat,Student Cribs,16
NE2 2AS,55-59 Osborne Road, ,6,3,Flat,Student Cribs,15
NE2 2AS,55-59 Osborne Road, ,3,3,Flat,Student Cribs,12
NE2 2AS,55-59 Osborne Road, ,3,3,Flat,Student Cribs,10
NE2 2AS,55-59 Osborne Road, ,4,1,Flat,Student Cribs,1
NE2 2AS,55-59 Osborne Road, ,1,1,Flat,Student Cribs,14
NE2 1JQ,2 Osborne Avenue, ,2,2,Flat,Student Cribs,1
NE2 3AE,44 Burdon Terrace, ,1,1,Flat,Student Cribs,2
NE2 3AE,44 Burdon Terrace, ,1,1,Flat,Student Cribs,3
NE2 3AE,44 Burdon Terrace, ,1,1,Flat,Student Cribs,4
NE2 3AE,44 Burdon Terrace, ,1,1,Flat,Student Cribs,5
NE2 3AE,44 Burdon Terrace, ,1,1,Flat,Student Cribs,6
NE2 3AE,44 Burdon Terrace, ,1,1,Flat,Student Cribs,1
NE2 4DP,38 Clayton Park Square, ,8,2,House,Student Cribs,
NE2 4DP,16 Clayton Park Square, ,7,1,House,Student Cribs,
NE2 4RL,26 Eslington Terrace, ,2,2,Flat,Student Cribs,2
NE2 4RL,26 Eslington Terrace, ,2,2,Flat,Student Cribs,3
NE2 4RL,26 Eslington Terrace, ,2,2,Flat,Student Cribs,4
NE2 4DY,A Jesmond View, ,4,2,Flat,Student Cribs,1
NE2 4DY,A Jesmond View, ,8,3,Flat,Student Cribs,2
NE2 4DY,A Jesmond View, ,7,2,Flat,Student Cribs,3
NE2 4DY,A Jesmond View, ,8,3,Flat,Student Cribs,4
NE2 4DY,A Jesmond View, ,7,3,Flat,Student Cribs,5
NE2 4DY,A Jesmond View, ,7,2,Flat,Student Cribs,6
NE2 4DY,A Jesmond View, ,8,3,Flat,Student Cribs,7
NE2 4DY,A Jesmond View, ,2,1,Flat,Student Cribs,8
NE2 4DY,A Jesmond View, ,2,1,Flat,Student Cribs,9
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 1
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 2
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 3
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 4
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 5
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 6
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 7
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 8
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 9
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 10
NE2 4DY,A Jesmond View, ,1,1,Flat,Student Cribs,Studio 11
NE2 4DY,B Jesmond View, ,4,2,Flat,Student Cribs,1
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,2
NE2 4DY,B Jesmond View, ,4,2,Flat,Student Cribs,3
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,4
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,5
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,7
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,6
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,8
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,9
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,10
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,11
NE2 4DY,B Jesmond View, ,5,2,Flat,Student Cribs,12
NE2 2JE,53 Shortridge Terrace, ,3,1,House,Student Cribs,
NE2 2JE,51 Shortridge Terrace, ,5,2,House,Student Cribs,
NE2 1LB,269 Jesmond Road, ,4,1,Flat,Student Cribs,2
NE2 1LD,250 Jesmond Road, ,4,2,House,Student Cribs,
NE2 1LB,269 Jesmond Road, ,3,1,Flat,Student Cribs,3
NE2 1NL,117-119 Jesmond Road, ,5,2,Flat,Student Cribs,3
NE2 1LB,269 Jesmond Road, ,3,1,Flat,Student Cribs,3
NE2 1NL,117-119 Jesmond Road, ,5,2,Flat,Student Cribs,5
NE2 1JX,55 Deuchar Street , ,3,1,House,Student Cribs,
NE2 1JX,57 Deuchar Street, ,6,2,House,Student Cribs,
NE2 1JX,20 Deuchar Street, ,6,2,House,Student Cribs,
NE2 1HJ,20 Kimberley Gardens, ,1,1,Flat,Student Cribs,2
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,1,1,Flat,Student Cribs,1
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,4,2,Flat,Student Cribs,10
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,6,2,Flat,Student Cribs,11
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,4,1,Flat,Student Cribs,12
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,4,2,Flat,Student Cribs,14
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,1,1,Flat,Student Cribs,15
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,2,1,Flat,Student Cribs,2
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,6,2,Flat,Student Cribs,3
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,6,2,Flat,Student Cribs,4
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,6,2,Flat,Student Cribs,5
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,2,1,Flat,Student Cribs,6
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,6,2,Flat,Student Cribs,7
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,1,1,Flat,Student Cribs,8
NE2 1JY,"Shiners Yard, 123 Jesmond Road", ,4,2,Flat,Student Cribs,9
NE2 1NJ,"Sanderson House, 107 Jesmond Road", ,3,3,Flat,Student Cribs,1
NE2 1NJ,"Sanderson House, 107 Jesmond Road", ,1,1,Flat,Student Cribs,9
NE2 1NJ,"Sanderson House, 107 Jesmond Road", ,1,1,Flat,Student Cribs,8
NE2 1NJ,"Sanderson House, 107 Jesmond Road", ,1,1,Flat,Student Cribs,5
NE2 1NJ,"Sanderson House, 107 Jesmond Road", ,1,1,Flat,Student Cribs,10
NE2 1NL,"Linden House, 117-119 Jesmond Road", ,4,1,Flat,Student Cribs,1
NE2 1NL,"Linden House, 117-119 Jesmond Road", ,4,2,Flat,Student Cribs,6
NE2 1NL,"Linden House, 117-119 Jesmond Road", ,5,2,Flat,Student Cribs,4
NE2 1NL,"Linden House, 117-119 Jesmond Road", ,5,2,Flat,Student Cribs,2
NE2 1NJ,"Sanderson House, 107 Jesmond Road", ,1,1,Flat,Student Cribs,7
NE2 1NJ,"Sanderson House, 107 Jesmond Road", ,4,4,Flat,Student Cribs,4
NE2 1NP,Sandyford Road, ,5,2,House,Student Cribs,
NE2 1NP,Sandyford Road, ,6,2,House,Student Cribs,
NE2 1NQ,Goldspink Lane, ,2,1,House,Student Cribs,
NE2 1NQ,Goldspink Lane, ,6,3,House,Student Cribs,
NE2 1RL,19 Kelvin Grove, ,3,1,House,Student Cribs,
NE2 1RB,71 Doncaster Road, ,3,1,House,Student Cribs,
NE2 1RB,172 Doncaster Road, ,5,2,House,Student Cribs,
NE2 1RB,51 Doncaster Road, ,3,1,House,Student Cribs,
NE2 1RB,178 Doncaster Road, ,4,1,House,Student Cribs,
NE2 1RB,176 Doncaster Road, ,6,2,House,Student Cribs,
NE2 1RB,107 Doncaster Road, ,6,2,House,Student Cribs,
NE2 1RB,43 Doncaster Road, ,3,1,House,Student Cribs,
NE2 1RB,39 Doncaster Road, ,5,2,House,Student Cribs,
NE2 1RJ,29 Starbeck Avenue, ,6,2,House,Student Cribs,
NE2 1RA,136 Doncaster Road, ,6,2,House,Student Cribs,
NE2 1RA,130 Doncaster Road, ,2,1,House,Student Cribs,
NE2 1RA,128 Doncaster Road, ,2,1,House,Student Cribs,
NE2 1RA,120 Doncaster Road, ,3,1,House,Student Cribs,
NE2 1RA,122 Doncaster Road, ,2,1,House,Student Cribs,
NE2 1RE,124 Helmsley Road, ,2,1,House,Student Cribs,
NE2 1DN,77 Dinsdale Road, ,5,2,House,Student Cribs,
NE2 1RE,87 Helmsley Road, ,4,1,House,Student Cribs,
NE2 1DL,66 Helmsley Road, ,2,1,House,Student Cribs,
NE2 1PB,53 Starbeck Avenue, ,3,1,House,Student Cribs,
NE2 1PA,8 Brandon Grove, ,7,5,House,Student Cribs,
NE2 1NQ,21 Goldspink, ,6,3,House,Student Cribs,
NE2 1PD,18 Springbank Road, ,7,3,House,Student Cribs,
NE2 1PD,29 Springbank Road, ,7,2,House,Student Cribs,
NE2 1PN,74 Greystoke Avenue, ,6,2,House,Student Cribs,
NE2 1PL,30 Greystoke Gardens, ,5,2,House,Student Cribs,
NE2 1PL,32 Greystoke Gardens, ,5,2,House,Student Cribs,
NE6 5AP,188 Heaton Park, ,1,1,Flat,Student Cribs,A
NE6 5AP,188 Heaton Park, ,7,2,Flat,Student Cribs,C
NE6 5AP,188 Heaton Park, ,1,1,Flat,Student Cribs,B
NE6 5AQ,24A Warwick Street, ,5,2,House,Student Cribs,
NE6 5AQ,24 Warwick Street, ,1,1,Flat,Student Cribs,
